area trstprl trstlgl trstplt trstep trstun euftf imueclt imwbcnt
W 3 7 4 6 6 7 5 6
W 6 6 4 7 7 5 3 5
W 3 8 6 8 8 6 7 4
W 4 7 6 4 4 8 7 4
W 5 4 3 3 3 4 6 6
W 7 5 6 6 6 6 6 4
W 3 2 2 2 2 2 7 5
W 8 8 8 8 3 5 6 8
W 3 0 0 0 0 1 0 3
W 4 5 5 5 5 8 8 5
W 8 8 7 7 8 9 4 4
W 4 8 0 4 5 3 6 4
W 2 5 4 3 5 7 8 6
W 3 3 0 3 3 0 0 3
W 4 2 5 5 5 5 8 4
W 6 4 6 6 7 9 8 5
W 2 2 4 3 4 1 3 4
W 3 3 1 3 4 5 8 6
W 6 8 3 7 7 10 8 4
W 3 8 3 8 9 2 3 5
W 3 3 6 7 8 4 6 4
W 5 3 3 3 3 4 3 5
W 5 5 5 8 8 2 3 5
W 6 4 6 8 5 7 8 5
W 0 10 0 5 0 5 8 8
W 7 8 7 7 5 7 8 7
W 6 4 5 7 7 6 4 1
W 6 5 4 6 3 10 7 5
W 3 2 4 3 4 6 0 0
W 8 8 10 8 7 7 5 7
W 5 5 5 5 6 7 7 5
W 4 5 3 3 3 4 6 5
W 3 3 2 3 0 2 8 5
W 4 5 3 5 5 6 4 5
W 5 5 5 6 5 2 6 6
W 7 7 5 7 7 5 7 5
W 2 4 2 4 5 2 8 5
W 3 5 2 5 5 4 8 7
W 7 7 7 6 6 7 5 3
W 6 7 6 5 5 9 2 2
W 7 7 6 7 6 6 3 3
W 5 4 8 6 9 10 10 4
W 3 3 4 5 6 4 3 5
W 6 5 5 7 6 8 7 5
W 2 2 6 1 1 6 2 5
W 3 6 2 6 6 7 7 5
W 6 3 6 7 6 5 3 6
W 5 6 5 6 6 8 6 6
W 6 6 7 8 9 6 6 7
W 3 7 3 6 7 3 8 4
W 5 6 6 7 8 6 5 4
W 7 9 6 8 6 8 7 6
W 3 3 1 3 3 3 3 4
W 6 3 4 7 5 5 3 1
W 2 2 2 2 4 2 2 2
W 7 6 7 8 8 10 8 5
W 4 5 6 7 6 9 7 7
W 1 7 3 7 5 7 9 5
W 4 6 4 4 5 3 4 2
W 4 7 3 6 6 5 8 7
W 8 8 7 8 8 4 7 4
W 6 7 7 7 7 3 5 5
W 4 5 3 4 3 5 6 3
W 2 3 2 1 1 2 4 3
W 3 6 4 8 7 6 6 6
W 7 6 6 8 9 6 6 5
W 3 4 3 4 5 5 7 3
W 5 3 5 5 3 6 7 7
W 5 5 5 6 7 7 6 3
W 9 9 6 8 6 5 9 5
